protocol,chain,pool_name,apy,apy_base,apy_reward,tvl_usd,usdc_liquidity,risk_score,category,min_deposit,oracle_confidence,last_updated,risk_adjusted_apy,tvl_millions,liquidity_millions,risk_category
curve-dex,ethereum,USDE-USDC,11.43,11.43,0.0,5184197.0,2592098.5,0.979263212,stable_lp,1.0,0.9,2025-09-27 11:56:28.804131,5.774876191656312,5.184197,2.5920985,High
morpho-blue,ethereum,HYPERUSDC,9.2034,9.2034,0.0,104679485.0,34544230.050000004,0.6,other,1.0,0.9,2025-09-27 11:56:28.803113,5.7521249999999995,104.679485,34.54423005,High
euler-v2,ethereum,USDC,11.44643,1.1289,10.31753,1463767.0,1390578.65,0.994144932,other,1.0,0.9,2025-09-27 11:56:28.805038,5.740019101079058,1.463767,1.39057865,High
maverick-v2,ethereum,USDC-USDT,11.42443,11.42443,0.0,2126980.0,1063490.0,0.99149208,lp_pool,1.0,0.9,2025-09-27 11:56:28.804744,5.736618344974788,2.12698,1.06349,High
maple,ethereum,USDC,9.17474,6.97474,2.2,2660547995.0,2527520595.25,0.6,other,1.0,0.9,2025-09-27 11:56:28.801882,5.7342125,2660.547995,2527.52059525,High
wildcat-protocol,ethereum,AMBERUSDC,11.0,11.0,0.0,19992637.0,6597570.21,0.920029452,other,1.0,0.9,2025-09-27 11:56:28.803471,5.729078784985221,19.992637,6.59757021,High
wildcat-protocol,ethereum,WMTUSDC,10.5,10.5,0.0,39911240.0,13170709.200000001,0.8403550399999999,other,1.0,0.9,2025-09-27 11:56:28.803313,5.705420840969904,39.91124,13.170709200000001,High
extra-finance-leverage-farming,base,MSUSD-USDC,11.30423,11.30423,0.0,1435649.0,717824.5,0.9942574040000001,lp_pool,1.0,0.9,2025-09-27 11:56:28.805050,5.66839063870413,1.435649,0.7178245,High
gmx-v2-perps,arbitrum,WBTC.B-USDC,11.24974,11.24974,0.0,3663925.0,1831962.5,0.9853443,lp_pool,1.0,0.9,2025-09-27 11:56:28.804356,5.6663924740912694,3.663925,1.8319625,High
morpho-blue,base,UUSDC,11.28152,7.54408,3.73744,1556788.0,513740.04000000004,0.993772848,other,1.0,0.9,2025-09-27 11:56:28.804992,5.658377789283647,1.556788,0.5137400400000001,High
morpho-blue,ethereum,HYUSDC,11.15652,8.25399,2.90253,4431399.0,1462361.6700000002,0.982274404,other,1.0,0.9,2025-09-27 11:56:28.804246,5.628141077485254,4.431399,1.4623616700000002,High
beefy,arbitrum,MIM-USDC,11.09034,0.0,0.0,5379794.0,2689897.0,0.978480824,lp_pool,1.0,0.9,2025-09-27 11:56:28.804110,5.605482684223377,5.379794,2.689897,High
extra-finance-leverage-farming,base,USDC,11.03705,10.75286,0.28419,6720742.0,6384704.899999999,0.973117032,other,1.0,0.9,2025-09-27 11:56:28.803979,5.593712801116807,6.720742,6.384704899999999,High
gmx-v2-perps,arbitrum,ETH-USDC,11.05016,11.05016,0.0,3025288.0,1512644.0,0.9878988479999999,lp_pool,1.0,0.9,2025-09-27 11:56:28.804479,5.558713417997816,3.025288,1.512644,High
harmonix-finance,arbitrum,USDC,10.98122,10.98122,0.0,4391596.0,4172016.1999999997,0.982433616,other,1.0,0.9,2025-09-27 11:56:28.804254,5.539262405243637,4.391596,4.1720162,High
fractal-protocol,ethereum,USDC,11.0,0.0,0.0,3401764.0,3231675.8,0.986392944,other,1.0,0.9,2025-09-27 11:56:28.804400,5.537675731896881,3.401764,3.2316757999999997,High
aerodrome-v1,base,MSUSD-USDC,10.7529,0.0,10.7529,10895310.0,5447655.0,0.95641876,lp_pool,1.0,0.9,2025-09-27 11:56:28.803684,5.49621595327577,10.89531,5.447655,High
balancer-v3,base,SUSDX-USDX-WABASUSDC,10.91074,0.76836,10.14239,1532064.0,766032.0,0.993871744,lp_pool,1.0,0.9,2025-09-27 11:56:28.805005,5.472137329210279,1.532064,0.766032,High
pendle,ethereum,SUPERUSDC,10.82912,10.82912,0.0,2374906.0,783718.98,0.990500376,other,1.0,0.9,2025-09-27 11:56:28.804651,5.440400881391243,2.374906,0.78371898,High
uniswap-v3,ethereum,USDC-CBBTC,10.82107,10.82107,0.0,2248196.0,1124098.0,0.9910072160000001,lp_pool,1.0,0.9,2025-09-27 11:56:28.804703,5.434972768074589,2.248196,1.124098,High
morpho-blue,ethereum,CSUSDC,10.72369,10.59033,0.13336,6051971.0,1997150.4300000002,0.975792116,other,1.0,0.9,2025-09-27 11:56:28.804032,5.4275396248215415,6.051971,1.9971504300000003,High
gmx-v2-perps,arbitrum,ETH-USDC,10.59386,10.59386,0.0,2720196.0,1360098.0,0.989119216,lp_pool,1.0,0.9,2025-09-27 11:56:28.804561,5.325905011014684,2.720196,1.360098,High
morpho-blue,ethereum,AUSDC,10.2187,10.2187,0.0,19837453.0,6546359.49,0.920650188,other,1.0,0.9,2025-09-27 11:56:28.803475,5.32043787246905,19.837453,6.54635949,High
fluid-lending,arbitrum,USDC,9.63,4.12,5.51,47170444.0,44811921.8,0.811318224,other,1.0,0.9,2025-09-27 11:56:28.803268,5.316569928134285,47.170444,44.8119218,High
ipor-fusion,arbitrum,USDC,10.49849,10.49849,0.0,1351904.0,1284308.8,0.9945923839999999,other,1.0,0.9,2025-09-27 11:56:28.805103,5.263476429678376,1.351904,1.2843088,High
uniswap-v2,ethereum,RAD-USDC,10.39728,10.39728,0.0,2940151.0,1470075.5,0.988239396,lp_pool,1.0,0.9,2025-09-27 11:56:28.804496,5.229390394797307,2.940151,1.4700755,High
goldfinch,ethereum,USDC,9.55104,9.55104,0.0,42688980.0,40554531.0,0.82924408,other,1.0,0.9,2025-09-27 11:56:28.803292,5.221304310576203,42.68898,40.554531,High
morpho-blue,ethereum,ADPUSDC,10.30355,10.30355,0.0,2311299.0,762728.67,0.990754804,other,1.0,0.9,2025-09-27 11:56:28.804675,5.175700181306707,2.311299,0.76272867,High
upshift,ethereum,COREUSDC,10.0,10.0,0.0,14126669.0,4661800.7700000005,0.943493324,other,1.0,0.9,2025-09-27 11:56:28.803581,5.145373990489715,14.126669,4.66180077,High
beefy,base,MSUSD-USDC,10.22594,0.0,0.0,1845812.0,922906.0,0.992616752,lp_pool,1.0,0.9,2025-09-27 11:56:28.804857,5.131915100952639,1.845812,0.922906,High
fx-protocol,ethereum,USDC-FXUSD,9.78,0.0,0.0,17872680.0,8936340.0,0.92850928,lp_pool,1.0,0.9,2025-09-27 11:56:28.803505,5.0712745338720895,17.87268,8.93634,High
harvest-finance,base,USDC,10.07,10.07,0.0,2954258.0,2806545.1,0.988182968,other,1.0,0.9,2025-09-27 11:56:28.804493,5.06492619747661,2.954258,2.8065451,High
aerodrome-v1,base,USDC-MAI,10.01952,0.0,10.01952,4839023.0,2419511.5,0.980643908,lp_pool,1.0,0.9,2025-09-27 11:56:28.804196,5.058718510445139,4.839023,2.4195115,High
euler-v2,ethereum,USDC,10.0505,4.49105,5.55945,1286782.0,1222442.9,0.994852872,other,1.0,0.9,2025-09-27 11:56:28.805142,5.038216171763869,1.286782,1.2224428999999999,High
convex-finance,ethereum,USDC-RLUSD,9.85892,2.06,7.79892,10752992.0,5376496.0,0.9569880319999999,lp_pool,1.0,0.9,2025-09-27 11:56:28.803692,5.037802908750747,10.752992,5.376496,High
balancer-v3,arbitrum,XUSD-USDC,9.87953,9.87953,0.0,3627534.0,1813767.0,0.985489864,lp_pool,1.0,0.9,2025-09-27 11:56:28.804364,4.97586524067997,3.627534,1.813767,High
harvest-finance,base,USDC,9.92,9.92,0.0,1077073.0,1023219.35,0.9956917080000001,other,1.0,0.9,2025-09-27 11:56:28.805322,4.970707629958244,1.077073,1.02321935,High
pendle,ethereum,SUPERUSDC,9.74411,8.72843,1.01569,2374906.0,783718.98,0.990500376,other,1.0,0.9,2025-09-27 11:56:28.804654,4.8953067869201945,2.374906,0.78371898,High
upshift,ethereum,UPUSDC,9.09,9.09,0.0,30387591.0,10027905.030000001,0.878449636,other,1.0,0.9,2025-09-27 11:56:28.803369,4.8390970009482865,30.387591,10.027905030000001,High
gmx-v2-perps,arbitrum,ETH-USDC,9.53454,9.53454,0.0,5137774.0,2568887.0,0.9794489040000001,lp_pool,1.0,0.9,2025-09-27 11:56:28.804140,4.816764898923604,5.137774,2.568887,High
beefy,base,USDC-MAI,9.50697,0.0,0.0,2193740.0,1096870.0,0.99122504,lp_pool,1.0,0.9,2025-09-27 11:56:28.804722,4.774432728105911,2.19374,1.09687,High
morpho-blue,ethereum,9SUSDC11CORE,9.30607,9.30607,0.0,11967894.0,3949405.02,0.952128424,other,1.0,0.9,2025-09-27 11:56:28.803649,4.76714025859602,11.967894,3.94940502,High
morpho-blue,ethereum,USUALUSDC+,7.56384,7.56384,0.0,295409827.0,97485242.91000001,0.6,other,1.0,0.9,2025-09-27 11:56:28.803032,4.727399999999999,295.409827,97.48524291000001,High
uniswap-v3,ethereum,PAXG-USDC,9.33708,9.33708,0.0,5467282.0,2733641.0,0.9781308719999999,lp_pool,1.0,0.9,2025-09-27 11:56:28.804099,4.720152813023789,5.467282,2.733641,High
fluid-lending,ethereum,USDC,7.54,5.03,2.51,294876629.0,280132797.55,0.6,other,1.0,0.9,2025-09-27 11:56:28.803039,4.7124999999999995,294.876629,280.13279755,High
ipor-fusion,base,USDC,9.26739,9.26739,0.0,2954657.0,2806924.15,0.988181372,other,1.0,0.9,2025-09-27 11:56:28.804490,4.661239729189053,2.954657,2.80692415,High
morpho-blue,ethereum,GTUSDCF,8.23507,8.12355,0.11151,58067470.0,19162265.1,0.76773012,other,1.0,0.9,2025-09-27 11:56:28.803211,4.658556137517191,58.06747,19.162265100000003,High
uniswap-v3,arbitrum,USDC-USDT,9.24378,9.24378,0.0,2848194.0,1424097.0,0.988607224,lp_pool,1.0,0.9,2025-09-27 11:56:28.804525,4.648368912894988,2.848194,1.424097,High
morpho-blue,ethereum,OEVUSDC,9.05722,5.33656,3.72066,12751505.0,4207996.65,0.94899398,other,1.0,0.9,2025-09-27 11:56:28.803617,4.647125693020355,12.751505,4.20799665,High
gmx-v2-perps,arbitrum,ARB-USDC,9.21344,9.21344,0.0,1575324.0,787662.0,0.993698704,lp_pool,1.0,0.9,2025-09-27 11:56:28.804974,4.621280026673479,1.575324,0.787662,High
aerodrome-v1,base,WETH-USDC,8.8068,1.07069,7.73611,21159569.0,10579784.5,0.915361724,lp_pool,1.0,0.9,2025-09-27 11:56:28.803441,4.5979826628299065,21.159569,10.5797845,High
merkl,ethereum,EUSD-GTEUSDC,9.00661,0.0,9.00661,7862002.0,3931001.0,0.968551992,lp_pool,1.0,0.9,2025-09-27 11:56:28.803886,4.575246189382841,7.862002,3.931001,High
pendle,arbitrum,GUSDC,9.08181,9.08181,0.0,3273578.0,1080280.74,0.986905688,other,1.0,0.9,2025-09-27 11:56:28.804431,4.570830943234987,3.273578,1.08028074,High
beefy,ethereum,MIM-DAI-USDC-USDT,8.93888,0.0,0.0,8092496.0,4046248.0,0.967630016,lp_pool,1.0,0.9,2025-09-27 11:56:28.803867,4.5429678991032425,8.092496,4.046248,High
morpho-blue,ethereum,REUSDC,8.32137,7.80368,0.51769,40158455.0,13252290.15,0.83936618,other,1.0,0.9,2025-09-27 11:56:28.803305,4.524042080625838,40.158455,13.25229015,High
stake-dao,ethereum,USDC-CRVUSD,8.90712,0.9,8.00712,3702401.0,1851200.5,0.985190396,lp_pool,1.0,0.9,2025-09-27 11:56:28.804351,4.486783745250397,3.702401,1.8512005,High
woofi-earn,arbitrum,USDC,8.9293,8.9293,0.0,1318258.0,1252345.0999999999,0.9947269679999999,other,1.0,0.9,2025-09-27 11:56:28.805124,4.476452237948587,1.318258,1.2523450999999999,High
pendle,ethereum,SYRUPUSDC,8.78405,8.78405,0.0,7502186.0,2475721.38,0.969991256,other,1.0,0.9,2025-09-27 11:56:28.803908,4.45892842074625,7.502186,2.47572138,High
multipli.fi,ethereum,XUSDC,8.11,0.0,0.0,39735601.0,13112748.33,0.841057596,other,1.0,0.9,2025-09-27 11:56:28.803319,4.405076743726164,39.735601,13.11274833,High
pendle,ethereum,MORPHO-PTUSDC,8.7624,8.7624,0.0,1796465.0,898232.5,0.99281414,lp_pool,1.0,0.9,2025-09-27 11:56:28.804877,4.396998106406451,1.796465,0.8982325,High
morpho-blue,ethereum,BBQUSDC,7.00028,6.48259,0.51769,179138455.0,59115690.150000006,0.6,other,1.0,0.9,2025-09-27 11:56:28.803054,4.375175,179.138455,59.115690150000006,High
pendle,ethereum,MORPHO-PTUSDC,8.55491,8.52534,0.02958,1796465.0,898232.5,0.99281414,lp_pool,1.0,0.9,2025-09-27 11:56:28.804874,4.292879013795034,1.796465,0.8982325,High
morpho-blue,ethereum,ELLENUSDC,8.43921,8.43921,0.0,2294339.0,757131.87,0.990822644,other,1.0,0.9,2025-09-27 11:56:28.804688,4.2390566660643225,2.294339,0.75713187,High
morpho-blue,base,SPARKUSDC,6.76738,6.76738,0.0,722333674.0,238370112.42000002,0.6,other,1.0,0.9,2025-09-27 11:56:28.803003,4.2296125,722.333674,238.37011242000003,High
fluid-lending,base,USDC,7.96,4.21,3.75,21961575.0,20863496.25,0.9121537,other,1.0,0.9,2025-09-27 11:56:28.803435,4.162845277552741,21.961575,20.86349625,High
harvest-finance,base,USDC,8.29,8.29,0.0,1980714.0,1881678.2999999998,0.992077144,other,1.0,0.9,2025-09-27 11:56:28.804814,4.161485424883725,1.980714,1.8816783,High
yearn-finance,ethereum,USDC,7.97561,7.97561,0.0,19159955.0,18201957.25,0.92336018,other,1.0,0.9,2025-09-27 11:56:28.803487,4.1467064166837435,19.159955,18.20195725,High
aerodrome-v1,base,USDC-CBBTC,8.27488,0.0,8.27488,1099798.0,549899.0,0.9956008080000001,lp_pool,1.0,0.9,2025-09-27 11:56:28.805283,4.146560758458061,1.099798,0.549899,High
morpho-blue,base,MWUSDC,7.28635,6.76738,0.51898,59081557.0,19496913.810000002,0.763673772,other,1.0,0.9,2025-09-27 11:56:28.803201,4.13134793728735,59.081557,19.496913810000002,High
morpho-blue,base,GTUSDCF,8.16776,7.46533,0.70244,2576332.0,850189.56,0.9896946719999999,other,1.0,0.9,2025-09-27 11:56:28.804594,4.10503184983148,2.576332,0.85018956,High
gmx-v2-perps,arbitrum,AAVE-USDC,8.17535,8.17535,0.0,1794775.0,897387.5,0.9928209,lp_pool,1.0,0.9,2025-09-27 11:56:28.804880,4.102400772693622,1.794775,0.8973875,High
ipor-fusion,ethereum,USDC,8.18593,8.18593,0.0,1013751.0,963063.45,0.995944996,other,1.0,0.9,2025-09-27 11:56:28.805384,4.101280354120541,1.013751,0.9630634499999999,High
morpho-blue,base,SMUSDC,7.24047,6.76074,0.47973,58010596.0,19143496.68,0.767957616,other,1.0,0.9,2025-09-27 11:56:28.803218,4.095386639630846,58.010596,19.14349668,High
pendle,ethereum,SYRUPUSDC,8.03558,7.64126,0.39433,7502186.0,2475721.38,0.969991256,other,1.0,0.9,2025-09-27 11:56:28.803905,4.078992724219482,7.502186,2.47572138,High
convex-finance,ethereum,STG-USDC,8.08917,7.95,0.13917,2424990.0,1212495.0,0.9903000399999999,lp_pool,1.0,0.9,2025-09-27 11:56:28.804632,4.064296757990317,2.42499,1.212495,High
curve-dex,ethereum,YUSD-SYRUPUSDC,7.94,7.94,0.0,9252430.0,4626215.0,0.96299028,stable_lp,1.0,0.9,2025-09-27 11:56:28.803786,4.044849371337692,9.25243,4.626215,High
dolomite,arbitrum,USDC,8.02482,8.02482,0.0,2692659.0,2558026.05,0.989229364,other,1.0,0.9,2025-09-27 11:56:28.804572,4.034135100370457,2.692659,2.5580260499999996,High
curve-dex,ethereum,STG-USDC,7.95222,7.95,0.00222,6235955.0,3117977.5,0.9750561799999999,stable_lp,1.0,0.9,2025-09-27 11:56:28.804009,4.026325975193273,6.235955,3.1179775,High
morpho-blue,ethereum,FXUSDC,7.96995,7.85456,0.11538,2817494.0,929773.02,0.988730024,other,1.0,0.9,2025-09-27 11:56:28.804535,4.007557538639543,2.817494,0.9297730200000001,High
convex-finance,ethereum,EUSD-USDC,7.83525,0.38,7.45525,7721080.0,3860540.0,0.96911568,lp_pool,1.0,0.9,2025-09-27 11:56:28.803895,3.9790704424231693,7.72108,3.86054,High
morpho-blue,base,STEAKUSDC,6.76744,6.76744,0.0,73392293.0,24219456.69,0.706430828,other,1.0,0.9,2025-09-27 11:56:28.803162,3.9658449020940916,73.392293,24.21945669,High
convex-finance,ethereum,USDC-CRVUSD,7.72723,0.98,6.74723,9301784.0,4650892.0,0.962792864,lp_pool,1.0,0.9,2025-09-27 11:56:28.803777,3.936854541162628,9.301784,4.650892,High
uniswap-v3,ethereum,EUROC-USDC,7.76545,7.76545,0.0,4554587.0,2277293.5,0.981781652,lp_pool,1.0,0.9,2025-09-27 11:56:28.804233,3.918418556435399,4.554587,2.2772935,High
morpho-blue,base,EXMUSDC,7.6749,6.76868,0.90622,6891381.0,2274155.73,0.972434476,other,1.0,0.9,2025-09-27 11:56:28.803955,3.8910798271810374,6.891381,2.27415573,High
merkl,arbitrum,SOUSDC-USDC,7.65195,0.0,7.65195,5804505.0,2902252.5,0.9767819799999999,lp_pool,1.0,0.9,2025-09-27 11:56:28.804055,3.870912461474381,5.804505,2.9022525,High
fluid-dex,ethereum,RLP-USDC,7.61809,7.61809,0.0,6773855.0,3386927.5,0.97290458,lp_pool,1.0,0.9,2025-09-27 11:56:28.803969,3.8613575523252117,6.773855,3.3869275,High
morpho-blue,ethereum,STEAKUSDCINFINIFI,7.52826,7.37954,0.14871,6842874.0,2258148.42,0.972628504,other,1.0,0.9,2025-09-27 11:56:28.803961,3.81635973764678,6.842874,2.25814842,High
curve-dex,ethereum,DEUSD-USDC,7.47405,0.07,7.40405,8119454.0,4059727.0,0.967522184,stable_lp,1.0,0.9,2025-09-27 11:56:28.803864,3.798711933608369,8.119454,4.059727,High
convex-finance,ethereum,USDC-USDT,7.55462,0.53,7.02462,2404921.0,1202460.5,0.990380316,lp_pool,1.0,0.9,2025-09-27 11:56:28.804640,3.79556607311223,2.404921,1.2024605,High
morpho-blue,base,BBQUSDC,7.47036,6.76792,0.70244,5755898.0,1899446.34,0.9769764080000001,other,1.0,0.9,2025-09-27 11:56:28.804062,3.7786793862438444,5.755898,1.8994463400000001,High
dsf.finance,ethereum,USDT-USDC-DAI,7.53372,0.0,0.0,1539898.0,769949.0,0.9938404080000001,lp_pool,1.0,0.9,2025-09-27 11:56:28.805001,3.7784969999464466,1.539898,0.769949,High
balancer-v3,base,AAVEUSDC-AAVEGHO,7.25046,5.69284,1.55762,19164614.0,9582307.0,0.923341544,lp_pool,1.0,0.9,2025-09-27 11:56:28.803485,3.769720475605762,19.164614,9.582307,High
morpho-blue,ethereum,GTUSDCRWA,7.3009,6.7832,0.51769,5125926.0,1691555.58,0.979496296,other,1.0,0.9,2025-09-27 11:56:28.804143,3.6882615111496024,5.125926,1.6915555800000002,High
balancer-v3,base,SURGEYUSD-AAVEUSDC,7.29804,7.29804,0.0,1217559.0,608779.5,0.995129764,lp_pool,1.0,0.9,2025-09-27 11:56:28.805177,3.657927485061568,1.217559,0.6087795,High
morpho-blue,base,GTUSDCP,7.13981,6.77618,0.36363,11196133.0,3694723.89,0.955215468,other,1.0,0.9,2025-09-27 11:56:28.803673,3.651674261406774,11.196133,3.69472389,High
gmx-v2-perps,arbitrum,ETH-USDC,7.23861,7.23861,0.0,3360218.0,1680109.0,0.986559128,lp_pool,1.0,0.9,2025-09-27 11:56:28.804407,3.6437928768259646,3.360218,1.680109,High
uniswap-v2,ethereum,USDC-WETH,6.87332,6.87332,0.0,27943551.0,13971775.5,0.888225796,lp_pool,1.0,0.9,2025-09-27 11:56:28.803381,3.6400943227024953,27.943551,13.9717755,High
beefy,base,USDC,7.18553,0.0,0.0,4303700.0,4088515.0,0.9827852,other,1.0,0.9,2025-09-27 11:56:28.804267,3.6239578548397477,4.3037,4.088515,High
morpho-blue,ethereum,GTUSDCCORE,6.42961,6.22308,0.20654,53101230.0,17523405.900000002,0.78759508,other,1.0,0.9,2025-09-27 11:56:28.803247,3.5967932961641402,53.10123,17.523405900000004,High
harvest-finance,ethereum,USDC,7.08,7.08,0.0,1112668.0,1057034.5999999999,0.9955493280000001,other,1.0,0.9,2025-09-27 11:56:28.805268,3.5478952590441803,1.112668,1.0570346,High
aerodrome-v1,base,BOLD-USDC,7.01375,0.0,7.01375,3521339.0,1760669.5,0.985914644,lp_pool,1.0,0.9,2025-09-27 11:56:28.804382,3.531747963685392,3.521339,1.7606695,High
morpho-blue,ethereum,AVGUSDCCORE,6.93793,6.93793,0.0,8821105.0,2910964.65,0.96471558,other,1.0,0.9,2025-09-27 11:56:28.803820,3.5312643064600726,8.821105,2.91096465,High
beefy,ethereum,USDC,6.97791,0.0,0.0,4821333.0,4580266.35,0.9807146680000001,other,1.0,0.9,2025-09-27 11:56:28.804200,3.522925392906718,4.821333,4.58026635,High
euler-v2,ethereum,USDC,6.57328,6.57328,0.0,31861040.0,30267988.0,0.87255584,other,1.0,0.9,2025-09-27 11:56:28.803358,3.5103252248007726,31.86104,30.267988,High
morpho-blue,base,GTUSDCC,6.86564,6.84801,0.01764,8127579.0,2682101.0700000003,0.967489684,other,1.0,0.9,2025-09-27 11:56:28.803858,3.4895430740159346,8.127579,2.6821010700000003,High
convex-finance,ethereum,USDC-WBTC-WETH,6.64642,1.77,4.87642,16767166.0,8383583.0,0.932931336,lp_pool,1.0,0.9,2025-09-27 11:56:28.803534,3.4385184182248674,16.767166,8.383583,High
morpho-blue,ethereum,RESOLVUSDC,6.78364,6.78364,0.0,6212324.0,2050066.9200000002,0.975150704,other,1.0,0.9,2025-09-27 11:56:28.804016,3.4344923586144747,6.212324,2.0500669200000003,High
yearn-finance,ethereum,USDC,6.57802,6.57802,0.0,20826158.0,19784850.099999998,0.9166953680000001,other,1.0,0.9,2025-09-27 11:56:28.803446,3.431959042538887,20.826158,19.784850099999996,High
morpho-blue,base,RE7USDC,6.83422,6.4545,0.37971,1986442.0,655525.86,0.992054232,other,1.0,0.9,2025-09-27 11:56:28.804807,3.430739931783142,1.986442,0.65552586,High
uniswap-v3,ethereum,LINEA-USDC,6.7731,6.7731,0.0,1483807.0,741903.5,0.994064772,lp_pool,1.0,0.9,2025-09-27 11:56:28.805026,3.3966298864037103,1.483807,0.7419035,High
curve-dex,arbitrum,SUSDAI-USDC,6.61,6.61,0.0,9914483.0,4957241.5,0.960342068,stable_lp,1.0,0.9,2025-09-27 11:56:28.803755,3.3718605073571273,9.914483,4.9572415,High
uniswap-v3,ethereum,USDC-USDF,6.39902,6.39902,0.0,20019285.0,10009642.5,0.91992286,lp_pool,1.0,0.9,2025-09-27 11:56:28.803464,3.3329568251507773,20.019285,10.0096425,High
beefy,base,BOLD-USDC,6.56079,0.0,0.0,2884069.0,1442034.5,0.988463724,lp_pool,1.0,0.9,2025-09-27 11:56:28.804519,3.299426547647695,2.884069,1.4420345,High
pendle,arbitrum,GUSDC,6.53592,5.74691,0.78901,3273578.0,1080280.74,0.986905688,other,1.0,0.9,2025-09-27 11:56:28.804428,3.2894968490321217,3.273578,1.08028074,High
morpho-blue,ethereum,DFORCEUSDC,6.50363,6.30099,0.20264,1665096.0,549481.68,0.993339616,other,1.0,0.9,2025-09-27 11:56:28.804927,3.2626803520068104,1.665096,0.5494816800000001,High
beefy,ethereum,USDC-WBTC-ETH,6.36859,0.0,0.0,3492639.0,1746319.5,0.9860294439999999,lp_pool,1.0,0.9,2025-09-27 11:56:28.804387,3.206694653616626,3.492639,1.7463195,High
aave-v3,base,USDC,5.64183,5.64183,0.0,59222039.0,56260937.05,0.763111844,lending,1.0,0.9,2025-09-27 11:56:28.803195,3.1999274573530685,59.222039,56.260937049999995,High
uniswap-v3,ethereum,PROMPT-USDC,6.32062,6.32062,0.0,1620990.0,810495.0,0.99351604,lp_pool,1.0,0.9,2025-09-27 11:56:28.804953,3.170588986081095,1.62099,0.810495,High
euler-v2,ethereum,USDC,6.19703,6.19703,0.0,10277961.0,9764062.95,0.958888156,other,1.0,0.9,2025-09-27 11:56:28.803727,3.163544575538288,10.277961,9.76406295,High
